DATE,ACMTP10
1997-03-31,1.7285431985
1997-04-30,1.6244174541
1997-05-30,1.6322033635
1997-06-30,1.5037421184
1997-07-31,1.1672691822
1997-08-29,1.4244783604
1997-09-30,1.293127492
1997-10-31,1.0493862027
1997-11-28,0.8503466549
1997-12-31,0.8033199014
1998-01-30,0.9031680062
1998-02-27,0.8488093773
1998-03-31,0.8393611682
1998-04-30,0.981838329
1998-05-29,0.833132521
1998-06-30,0.6670180675
1998-07-31,0.7002020583
1998-08-31,0.5915110672
1998-09-30,0.5482638619
1998-10-30,0.9133772522
1998-11-30,0.6212546143
1998-12-31,0.7150739542
1999-01-29,0.757424152
1999-02-26,1.0324355536
1999-03-31,1.201654561
1999-04-30,1.1889703284
1999-05-27,1.2190445414
1999-06-30,1.475307146
1999-07-30,1.4563740059
1999-08-31,1.5716450467
1999-09-30,1.6175821957
1999-10-29,1.5700784772
1999-11-30,1.5890096166
1999-12-31,1.738577038
2000-01-31,1.3163625037
2000-02-29,1.1044029976
2000-03-31,0.7621893986
2000-04-28,0.7889383849
2000-05-31,0.9026528381
2000-06-30,0.8655224561
2000-07-31,0.7142907126
2000-08-31,0.6011011009
2000-09-29,0.9172169956
2000-10-31,0.7448701377
2000-11-30,0.6301609516
2000-12-29,0.6870780684
2001-01-31,1.0504573558
2001-02-28,1.0097807401
2001-03-30,1.3014041629
2001-04-30,1.6473231798
2001-05-31,1.8017318124
2001-06-29,1.7785926322
2001-07-31,1.6134888867
2001-08-31,1.5631852029
2001-09-28,2.0308349009
2001-10-31,1.865741191
2001-11-30,2.3095559391
2001-12-31,2.4139524363
2002-01-31,2.2994041982
2002-02-28,2.3138757478
2002-03-28,2.4234689515
2002-04-30,2.2775449432
2002-05-31,2.399650165
2002-06-28,2.3504636713
2002-07-31,2.3765010598
2002-08-30,2.1318518848
2002-09-30,1.9637675746
2002-10-31,2.3241757663
2002-11-29,2.3391741414
2002-12-31,2.1785897723
2003-01-31,2.160788625
2003-02-28,1.9928228217
2003-03-31,2.1346247507
2003-04-30,2.0957673721
2003-05-30,1.7421773908
2003-06-30,1.8980546098
2003-07-31,2.7569127306
2003-08-29,2.5065876233
2003-09-30,2.2536410607
2003-10-31,2.4185775886
2003-11-28,2.3044053356
2003-12-31,2.3109309073
2004-01-30,2.174218313
2004-02-27,2.0501363456
2004-03-31,2.0353306405
2004-04-30,2.2911110653
2004-05-28,2.2966917991
2004-06-30,2.1196043274
2004-07-30,1.9849856541
2004-08-31,1.7680695894
2004-09-30,1.5907462638
2004-10-29,1.5010387574
2004-11-30,1.5143337333
2004-12-31,1.2872033452
2005-01-31,0.9290470235
2005-02-28,0.9069477524
2005-03-31,0.9278972491
